ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
223	"ENSMUSG00000026950"	"Neb"	chr2	-	52153055	52153148	52156354	52156447	52151363	52151456	52157290	52157383
224	"ENSMUSG00000026950"	"Neb"	chr2	-	52161370	52161475	52162067	52162172	52160655	52160748	52162904	52163009
225	"ENSMUSG00000026950"	"Neb"	chr2	-	52185270	52185375	52186011	52186116	52183731	52183836	52187410	52187515
226	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181355008	181355125	181355309	181355552	181354352	181354442	181355650	181355812
227	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181355008	181355125	181355327	181355552	181354352	181354442	181355650	181355812
228	"ENSMUSG00000001418"	"Glmp"	chr3	+	88325676	88325931	88326114	88326312	88325081	88325201	88326410	88326629
229	"ENSMUSG00000037012"	"Hk1"	chr10	-	62364887	62365068	62374703	62374806	62358335	62358430	62374948	62375100
230	"ENSMUSG00000037012"	"Hk1"	chr10	-	62365022	62365068	62374703	62374806	62358335	62358430	62374948	62375100
231	"ENSMUSG00000030204"	"Ddx47"	chr6	+	135015194	135015383	135015575	135015647	135012301	135012395	135015821	135015940
232	"ENSMUSG00000051331"	"Cacna1c"	chr6	-	118630398	118630431	118637729	118637813	118627441	118627570	118638426	118638510
233	"ENSMUSG00000051331"	"Cacna1c"	chr6	-	118637729	118637813	118638426	118638510	118627441	118627570	118651947	118652058
234	"ENSMUSG00000051331"	"Cacna1c"	chr6	-	118637729	118637813	118638426	118638510	118630398	118630431	118651947	118652058
235	"ENSMUSG00000051331"	"Cacna1c"	chr6	-	118674345	118674405	118674554	118674614	118670349	118670456	118675819	118675949
236	"ENSMUSG00000051331"	"Cacna1c"	chr6	-	118741870	118741974	118742264	118742368	118734850	118735023	118751368	118751565
237	"ENSMUSG00000027680"	"Fxr1"	chr3	+	34039526	34039579	34041062	34041156	34020097	34020163	34046031	34046103
238	"ENSMUSG00000033768"	"Nrxn2"	chr19	+	6448254	6448284	6450527	6450599	6443630	6443648	6454978	6455280
239	"ENSMUSG00000061904"	"Slc25a3"	chr10	-	91121921	91122043	91122107	91122331	91119526	91119706	91123557	91123706
240	"ENSMUSG00000061904"	"Slc25a3"	chr10	-	91121921	91122043	91122206	91122331	91119526	91119706	91123557	91123706
241	"ENSMUSG00000037369"	"Kdm6a"	chrX	+	18246974	18247109	18247566	18247722	18246196	18246416	18248269	18248359
242	"ENSMUSG00000024743"	"Syt7"	chr19	+	10421756	10421888	10422784	10423012	10417962	10418042	10426298	10426667
243	"ENSMUSG00000024743"	"Syt7"	chr19	+	10421756	10421888	10422784	10423012	10417962	10418042	10435549	10435685
244	"ENSMUSG00000024743"	"Syt7"	chr19	+	10422394	10422517	10422784	10423012	10421756	10421888	10426298	10426667
245	"ENSMUSG00000024743"	"Syt7"	chr19	+	10422784	10423012	10426298	10426667	10417962	10418042	10430337	10430460
246	"ENSMUSG00000031389"	"Arhgap4"	chrX	-	73904247	73904469	73906156	73906219	73900634	73900736	73906428	73906591
247	"ENSMUSG00000026933"	"Camsap1"	chr2	-	25953902	25953974	25955259	25955292	25952677	25952819	25956246	25956327
248	"ENSMUSG00000026933"	"Camsap1"	chr2	-	25953914	25953974	25955259	25955292	25952677	25952819	25956246	25956327
249	"ENSMUSG00000033411"	"Ctdspl2"	chr2	+	121978891	121979041	121981151	121981364	121977330	121977469	121986948	121987027
250	"ENSMUSG00000015083"	"C8g"	chr2	-	25499397	25499505	25499588	25499659	25499013	25499115	25499838	25499975
251	"ENSMUSG00000027287"	"Snap23"	chr2	+	120590662	120590695	120590821	120590914	120586158	120586276	120594800	120594956
252	"ENSMUSG00000005656"	"Snx6"	chr12	-	54770718	54770840	54783402	54783513	54768018	54768142	54784014	54784119
253	"ENSMUSG00000006476"	"Nsmf"	chr2	+	25057271	25057277	25057964	25057970	25057100	25057176	25059020	25059073
254	"ENSMUSG00000006476"	"Nsmf"	chr2	+	25057271	25057277	25058252	25058321	25057100	25057176	25059020	25059073
255	"ENSMUSG00000006476"	"Nsmf"	chr2	+	25057964	25057970	25058252	25058321	25057100	25057176	25059020	25059073
256	"ENSMUSG00000006476"	"Nsmf"	chr2	+	25059604	25059694	25060138	25060263	25059020	25059073	25060478	25060562
257	"ENSMUSG00000096730"	"Vmn2r122"	chrJH584292.1	+	7959	8188	9311	9435	6317	7121	10589	11935
258	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297
259	"ENSMUSG00000025911"	"Adhfe1"	chr1	+	9550560	9550647	9551716	9551757	9549906	9549944	9552922	9552976
260	"ENSMUSG00000014030"	"Pax5"	chr4	-	44537419	44537506	44570001	44570103	44531144	44531582	44609714	44609844
261	"ENSMUSG00000014030"	"Pax5"	chr4	-	44570001	44570103	44609714	44609844	44537419	44537506	44645547	44645723
262	"ENSMUSG00000014030"	"Pax5"	chr4	-	44609714	44609844	44615559	44615616	44570001	44570103	44645547	44645723
263	"ENSMUSG00000014030"	"Pax5"	chr4	-	44682668	44682733	44691834	44692032	44679453	44679568	44703370	44703413
264	"ENSMUSG00000014030"	"Pax5"	chr4	-	44682668	44682733	44697521	44697687	44679453	44679568	44703370	44703413
265	"ENSMUSG00000014030"	"Pax5"	chr4	-	44691834	44692032	44697521	44697687	44679453	44679568	44703370	44703413
266	"ENSMUSG00000014030"	"Pax5"	chr4	-	44691834	44692032	44697521	44697687	44682668	44682733	44710362	44710408
267	"ENSMUSG00000057914"	"Cacnb2"	chr2	+	14967941	14968075	14968217	14968237	14963905	14963982	14971561	14971642
268	"ENSMUSG00000023206"	"Il15ra"	chr2	+	11720012	11720105	11723412	11723610	11718263	11718458	11724095	11724128
269	"ENSMUSG00000057897"	"Camk2b"	chr11	-	5981069	5981114	5982500	5982572	5979672	5979721	5982720	5982758
270	"ENSMUSG00000042508"	"Dmtf1"	chr5	-	9148899	9149022	9150375	9150492	9140385	9140480	9151797	9151918
271	"ENSMUSG00000040434"	"Large2"	chr2	-	92367753	92367866	92369267	92369372	92367538	92367664	92369489	92369661
272	"ENSMUSG00000021326"	"Trim27"	chr13	+	21190091	21190124	21190592	21190686	21189854	21189970	21191219	21191246
273	"ENSMUSG00000021326"	"Trim27"	chr13	+	21190096	21190124	21190592	21190686	21189854	21189970	21191219	21191246
274	"ENSMUSG00000009995"	"Taz"	chrX	+	74288661	74288714	74288928	74289019	74288450	74288513	74289104	74289182
275	"ENSMUSG00000026490"	"Cdc42bpa"	chr1	+	180118735	180118783	180123923	180123962	180117666	180117743	180134296	180134380
276	"ENSMUSG00000026490"	"Cdc42bpa"	chr1	+	180118735	180118783	180130795	180130900	180117666	180117743	180134296	180134380
277	"ENSMUSG00000026490"	"Cdc42bpa"	chr1	+	180123923	180123962	180130795	180130900	180117666	180117743	180134296	180134380
278	"ENSMUSG00000026490"	"Cdc42bpa"	chr1	+	180123923	180123962	180130795	180130900	180118735	180118783	180134296	180134380
279	"ENSMUSG00000002279"	"Lmf1"	chr17	+	25588675	25588686	25603762	25603773	25585542	25585852	25612295	25612444
280	"ENSMUSG00000002279"	"Lmf1"	chr17	+	25588675	25588742	25603762	25603773	25585542	25585852	25612295	25612444
281	"ENSMUSG00000027022"	"Xirp2"	chr2	+	67234535	67234583	67319222	67319297	67196870	67196967	67396107	67396261
282	"ENSMUSG00000038495"	"Otud7b"	chr3	+	96108710	96108768	96130230	96130343	96104526	96104819	96136473	96136624
283	"ENSMUSG00000026150"	"Mff"	chr1	+	82737012	82737087	82747082	82747142	82735418	82735507	82750519	82750604
284	"ENSMUSG00000026150"	"Mff"	chr1	+	82741817	82741976	82745523	82745556	82735418	82735507	82747082	82747142
285	"ENSMUSG00000026414"	"Tnnt2"	chr1	+	135841900	135841911	135843773	135843814	135840874	135840912	135845554	135845644
286	"ENSMUSG00000026414"	"Tnnt2"	chr1	+	135842014	135842026	135843784	135843814	135841900	135841911	135845554	135845644
287	"ENSMUSG00000029095"	"Ablim2"	chr5	+	35849515	35849569	35856100	35856220	35841280	35841401	35857127	35857180
288	"ENSMUSG00000052423"	"B4galt3"	chr1	+	171270582	171270689	171270991	171271105	171270342	171270414	171271202	171271373
289	"ENSMUSG00000031753"	"Cog4"	chr8	+	110849867	110849950	110851335	110851450	110847050	110847209	110852285	110852460
290	"ENSMUSG00000052726"	"Kcnt2"	chr1	+	140484124	140484233	140507699	140507849	140450195	140450304	140509383	140509613
291	"ENSMUSG00000075415"	"Fnbp1"	chr2	-	31044881	31044896	31052984	31053080	31040404	31040514	31054023	31054218
292	"ENSMUSG00000075415"	"Fnbp1"	chr2	-	31044881	31044896	31052984	31053137	31040404	31040514	31054023	31054218
293	"ENSMUSG00000075415"	"Fnbp1"	chr2	-	31044881	31044896	31052984	31053167	31040404	31040514	31054023	31054218
294	"ENSMUSG00000029687"	"Ezh2"	chr6	-	47558177	47558294	47561668	47561938	47556029	47556150	47576535	47576664
295	"ENSMUSG00000115164"	"Gm30159"	chr15	-	63070697	63070761	63117721	63117830	63067917	63067991	63118735	63118824
296	"ENSMUSG00000115164"	"Gm30159"	chr15	-	63118735	63118824	63138689	63138949	63070697	63070761	63139442	63139547
297	"ENSMUSG00000026131"	"Dst"	chr1	+	34295665	34295683	34296741	34296759	34295461	34295536	34299720	34299838
298	"ENSMUSG00000018411"	"Mapt"	chr11	+	104287122	104287209	104294858	104294924	104282367	104282480	104302360	104302410
299	"ENSMUSG00000055897"	"Ppp4r1l-ps"	chr2	-	173590365	173590460	173592116	173592221	173589787	173589948	173592801	173593014
300	"ENSMUSG00000079484"	"Phyhd1"	chr2	+	30277147	30277210	30277622	30277644	30277002	30277058	30279954	30280083
301	"ENSMUSG00000000538"	"Tom1l2"	chr11	-	60262648	60262783	60270317	60270467	60261054	60261213	60274923	60275002
302	"ENSMUSG00000041674"	"BC006965"	chr11	-	112680921	112680950	112691291	112691435	112672917	112672972	112691502	112691714
303	"ENSMUSG00000032311"	"Nrg4"	chr9	-	55249095	55249169	55280889	55280983	55242060	55242207	55282550	55282616
304	"ENSMUSG00000027601"	"Mtfr1"	chr3	+	19200640	19200702	19206451	19206550	19200025	19200167	19211467	19211583
305	"ENSMUSG00000055322"	"Tns1"	chr1	-	73935897	73935936	73936331	73936355	73927911	73928110	73937224	73937317
306	"ENSMUSG00000085534"	"Gm2117"	chrX	+	28044562	28044595	28044791	28044955	28043965	28044052	28045513	28045626
307	"ENSMUSG00000058835"	"Abi1"	chr2	-	22950183	22950270	22953434	22953608	22946575	22946761	22957017	22957118
308	"ENSMUSG00000058835"	"Abi1"	chr2	-	22950183	22950270	22953434	22953611	22946575	22946761	22957017	22957118
309	"ENSMUSG00000058835"	"Abi1"	chr2	-	22963213	22963228	22971026	22971041	22962400	22962501	22971082	22971259
310	"ENSMUSG00000005583"	"Mef2c"	chr13	+	83625264	83625408	83625469	83625607	83592777	83592981	83633054	83633241
311	"ENSMUSG00000025558"	"Dock9"	chr14	-	121591310	121591354	121591811	121591879	121586226	121586342	121594335	121594383
312	"ENSMUSG00000025558"	"Dock9"	chr14	-	121591310	121591354	121591811	121591948	121586226	121586342	121594335	121594383
313	"ENSMUSG00000037685"	"Atp8a1"	chr5	-	67778959	67779033	67780987	67781061	67776128	67776198	67786625	67786666
314	"ENSMUSG00000043635"	"Adamts3"	chr5	-	89694749	89694830	89696002	89696086	89693038	89693202	89698203	89698327
315	"ENSMUSG00000029924"	"Slc37a3"	chr6	-	39367643	39367766	39371205	39371329	39366888	39367046	39372078	39372137
316	"ENSMUSG00000028613"	"Lrp8"	chr4	+	107843215	107843344	107847443	107847566	107834626	107834749	107851307	107851427
317	"ENSMUSG00000028613"	"Lrp8"	chr4	+	107848280	107848403	107850103	107850142	107847443	107847566	107851307	107851427
318	"ENSMUSG00000014668"	"Chfr"	chr5	+	110136482	110136652	110140116	110140189	110136050	110136194	110140353	110140453
319	"ENSMUSG00000031508"	"Ankrd10"	chr8	-	11620261	11620373	11623696	11623858	11619061	11619297	11628438	11628530
320	"ENSMUSG00000001120"	"Pcbp3"	chr10	-	76770259	76770319	76770960	76771036	76767863	76767916	76781831	76781873
321	"ENSMUSG00000028399"	"Ptprd"	chr4	-	76138555	76138573	76139293	76139302	76136810	76136921	76140513	76140702
322	"ENSMUSG00000026767"	"Mindy3"	chr2	-	12401024	12401076	12403997	12404168	12400022	12400137	12405859	12405920
323	"ENSMUSG00000028218"	"Fam92a"	chr4	-	12164268	12164274	12165765	12165771	12164087	12164192	12168222	12168324
324	"ENSMUSG00000026439"	"Rbbp5"	chr1	+	132484745	132484801	132484801	132484918	132484051	132484077	132489587	132489728
325	"ENSMUSG00000033257"	"Ttll4"	chr1	+	74687203	74687395	74687477	74687560	74686316	74686393	74687722	74687851
326	"ENSMUSG00000055320"	"Tead1"	chr7	+	112841887	112841950	112842039	112842102	112839415	112839480	112856052	112856064
327	"ENSMUSG00000055320"	"Tead1"	chr7	+	112842039	112842102	112856052	112856064	112839415	112839480	112856797	112856932
328	"ENSMUSG00000055320"	"Tead1"	chr7	+	112842039	112842102	112856052	112856064	112841887	112841950	112856797	112856932
329	"ENSMUSG00000117679"	"Apbb3"	chr18	-	36675280	36675396	36675396	36675524	36674949	36675141	36675662	36675746
330	"ENSMUSG00000034055"	"Phka1"	chrX	-	102531921	102531960	102532076	102532115	102520753	102520924	102532402	102532518
331	"ENSMUSG00000034055"	"Phka1"	chrX	-	102531921	102531960	102532076	102532115	102528066	102528117	102532402	102532518
332	"ENSMUSG00000040537"	"Adam22"	chr5	-	8086593	8086623	8087981	8088068	8082142	8082269	8090141	8090252
333	"ENSMUSG00000040537"	"Adam22"	chr5	-	8086593	8086623	8087981	8088068	8082142	8082269	8092339	8092406
334	"ENSMUSG00000040537"	"Adam22"	chr5	-	8086593	8086623	8090141	8090252	8082142	8082269	8092339	8092406
335	"ENSMUSG00000040537"	"Adam22"	chr5	-	8087981	8088068	8090141	8090252	8082142	8082269	8092339	8092406
336	"ENSMUSG00000040537"	"Adam22"	chr5	-	8087981	8088068	8091364	8091422	8082145	8082269	8092339	8092406
337	"ENSMUSG00000040537"	"Adam22"	chr5	-	8087981	8088068	8090141	8090252	8086593	8086623	8092339	8092406
338	"ENSMUSG00000040537"	"Adam22"	chr5	-	8090141	8090252	8091364	8091422	8082145	8082269	8092339	8092406
339	"ENSMUSG00000040537"	"Adam22"	chr5	-	8094985	8095047	8095072	8095180	8092730	8092831	8107001	8107019
340	"ENSMUSG00000040537"	"Adam22"	chr5	-	8094985	8095047	8095072	8095180	8092730	8092831	8111894	8111985
341	"ENSMUSG00000040537"	"Adam22"	chr5	-	8094985	8095047	8107001	8107019	8092730	8092831	8111894	8111985
342	"ENSMUSG00000040537"	"Adam22"	chr5	-	8094985	8095180	8107001	8107019	8092730	8092831	8111894	8111985
343	"ENSMUSG00000040537"	"Adam22"	chr5	-	8095072	8095180	8107001	8107019	8092730	8092831	8111894	8111985
344	"ENSMUSG00000063052"	"Lrrc40"	chr3	+	158041585	158041659	158041862	158041933	158040440	158040622	158043560	158043690
345	"ENSMUSG00000063052"	"Lrrc40"	chr3	+	158041619	158041659	158041862	158041933	158040440	158040622	158043560	158043690
346	"ENSMUSG00000099853"	"Gm29328"	chr7	+	71369462	71369550	71369772	71369828	71368566	71368927	71370334	71370423
347	"ENSMUSG00000031392"	"Irak1"	chrX	-	74018129	74018366	74019899	74019965	74017129	74017511	74020327	74020535
348	"ENSMUSG00000042323"	"Pbrm1"	chr14	+	31110414	31110579	31113848	31114004	31107108	31107310	31117012	31117083
349	"ENSMUSG00000035778"	"Ggta1"	chr2	-	35414218	35414284	35416471	35416507	35413325	35413427	35422179	35422268
350	"ENSMUSG00000017652"	"Cd40"	chr2	+	165066502	165066564	165069628	165069715	165063467	165063561	165069816	165069848
351	"ENSMUSG00000027202"	"Slc12a1"	chr2	+	125165494	125165590	125166122	125166218	125161075	125161151	125169412	125169552
352	"ENSMUSG00000027202"	"Slc12a1"	chr2	+	125165494	125165590	125166672	125166768	125161075	125161151	125169412	125169552
353	"ENSMUSG00000027202"	"Slc12a1"	chr2	+	125166122	125166218	125166672	125166768	125161075	125161151	125169412	125169552
354	"ENSMUSG00000031608"	"Galnt7"	chr8	-	57542511	57542694	57542834	57543017	57540019	57540137	57545328	57545408
355	"ENSMUSG00000039068"	"Zzz3"	chr3	+	152427276	152428832	152437737	152437890	152422617	152422771	152446798	152446937
356	"ENSMUSG00000039068"	"Zzz3"	chr3	+	152427276	152428832	152446628	152446689	152422617	152422771	152446798	152446937
357	"ENSMUSG00000039068"	"Zzz3"	chr3	+	152437737	152437890	152446628	152446689	152422617	152422771	152446798	152446937
358	"ENSMUSG00000018796"	"Acsl1"	chr8	+	46521267	46521345	46521409	46521487	46518960	46519034	46524942	46525077
359	"ENSMUSG00000034755"	"Pcdh11x"	chrX	+	120811139	120811163	120899554	120899700	120726500	120726699	120905697	120906344
360	"ENSMUSG00000021051"	"Ppp2r5e"	chr12	-	75493413	75493515	75515601	75515798	75485131	75485224	75593168	75593332
361	"ENSMUSG00000040464"	"Gtpbp10"	chr5	-	5547926	5548000	5555237	5555382	5546352	5546405	5557212	5557406
362	"ENSMUSG00000040464"	"Gtpbp10"	chr5	-	5547926	5548000	5556064	5556156	5546352	5546405	5557212	5557406
363	"ENSMUSG00000040464"	"Gtpbp10"	chr5	-	5555237	5555382	5556064	5556156	5546352	5546405	5557212	5557406
364	"ENSMUSG00000030231"	"Plekha5"	chr6	+	140591627	140591764	140593554	140593657	140589645	140589755	140596248	140597110
365	"ENSMUSG00000021884"	"Hacl1"	chr14	-	31630960	31631038	31632895	31632968	31630032	31630127	31634198	31634279
366	"ENSMUSG00000021884"	"Hacl1"	chr14	-	31632895	31632968	31634198	31634279	31630960	31631038	31635743	31635784
367	"ENSMUSG00000025997"	"Ikzf2"	chr1	-	69542226	69542370	69548598	69548736	69538767	69539492	69570492	69570660
368	"ENSMUSG00000037605"	"Adgrl3"	chr5	+	81787435	81787564	81792360	81792412	81771583	81771680	81794263	81795347
369	"ENSMUSG00000030759"	"Far1"	chr7	+	113553641	113553813	113554116	113554288	113551934	113552002	113561375	113561505
370	"ENSMUSG00000004633"	"Chn2"	chr6	+	54290266	54290440	54293037	54293115	54286093	54286178	54298044	54298150
371	"ENSMUSG00000004633"	"Chn2"	chr6	+	54293037	54293115	54298044	54298150	54290266	54290440	54300072	54300244
372	"ENSMUSG00000061689"	"Dlgap4"	chr2	+	156748022	156748102	156748331	156748403	156745834	156746196	156748943	156749356
373	"ENSMUSG00000061689"	"Dlgap4"	chr2	+	156748022	156748102	156748331	156748420	156745834	156746196	156748943	156749356
374	"ENSMUSG00000026189"	"Pecr"	chr1	-	72275652	72275802	72276165	72276331	72274885	72274967	72277286	72277420
375	"ENSMUSG00000026222"	"Sp100"	chr1	+	85681085	85681139	85691974	85692049	85679058	85679109	85694258	85694309
376	"ENSMUSG00000091805"	"Vmn2r108"	chr17	-	20469043	20469167	20470044	20470152	20456326	20463292	20470951	20471743
377	"ENSMUSG00000091805"	"Vmn2r108"	chr17	-	20469043	20469167	20470044	20470260	20456326	20463292	20470951	20471743
378	"ENSMUSG00000043384"	"Gprasp1"	chrX	+	135743441	135743522	135743562	135743614	135742732	135742978	135744498	135744575
379	"ENSMUSG00000075703"	"Selenoi"	chr5	+	30248411	30248520	30252709	30252784	30247462	30247531	30256077	30256340
380	"ENSMUSG00000028100"	"Nudt17"	chr3	-	96707783	96707809	96707809	96707886	96707557	96707650	96707991	96708175
381	"ENSMUSG00000022995"	"Enah"	chr1	-	181931173	181931185	181935659	181935716	181930677	181930762	181956393	181956571
382	"ENSMUSG00000022995"	"Enah"	chr1	-	181931173	181931185	181945040	181945052	181930677	181930762	181956393	181956571
383	"ENSMUSG00000022995"	"Enah"	chr1	-	181935659	181935716	181945040	181945052	181930677	181930762	181956393	181956571
384	"ENSMUSG00000024055"	"Cyp4f13"	chr17	-	32932628	32932682	32941055	32941200	32930540	32930662	32946804	32947003
385	"ENSMUSG00000027940"	"Tpm3"	chr3	+	90088400	90088476	90089047	90089123	90087673	90087744	90089796	90089859
386	"ENSMUSG00000118227"	"Gm30288"	chr18	-	81436185	81436277	81450993	81451154	81434182	81435173	81453434	81453528
387	"ENSMUSG00000033808"	"Tmem87a"	chr2	-	120373910	120373979	120374487	120374559	120371523	120371632	120375418	120375512
388	"ENSMUSG00000000881"	"Dlg3"	chrX	+	100808052	100808152	100809861	100809907	100807179	100807255	100811501	100811543
389	"ENSMUSG00000022770"	"Dlg1"	chr16	+	31846833	31846933	31847635	31847669	31842769	31842839	31853842	31853884
390	"ENSMUSG00000040774"	"Cept1"	chr3	-	106512802	106512887	106520008	106520093	106505720	106505852	106531136	106531278
391	"ENSMUSG00000093385"	"A330044P14Rik"	chr6	-	123963632	123963992	123968854	123969661	123959842	123960067	123976320	123976618
392	"ENSMUSG00000026527"	"Rgs7"	chr1	-	175066616	175066694	175076016	175076097	175059735	175059794	175076823	175076877
393	"ENSMUSG00000014602"	"Kif1a"	chr1	-	93026831	93026855	93034545	93034572	93025620	93025735	93036845	93036951
394	"ENSMUSG00000039307"	"Hexdc"	chr11	+	121214759	121214924	121215170	121215335	121213982	121214070	121216892	121217076
395	"ENSMUSG00000040183"	"Ankrd6"	chr4	-	32818604	32818709	32821256	32821334	32817418	32817550	32822152	32822251
396	"ENSMUSG00000024875"	"Yif1a"	chr19	+	5091540	5091696	5092128	5092222	5091367	5091425	5092301	5092505
397	"ENSMUSG00000042359"	"Osbpl6"	chr2	+	76555889	76555982	76560185	76560260	76555013	76555117	76564783	76564949
398	"ENSMUSG00000023079"	"Gtf2ird1"	chr5	-	134360237	134360275	134362510	134362548	134358987	134359118	134363181	134363374
399	"ENSMUSG00000023079"	"Gtf2ird1"	chr5	-	134360953	134361146	134363181	134363374	134360237	134360275	134363901	134363979
400	"ENSMUSG00000034164"	"Emid1"	chr11	-	5109543	5109634	5110689	5110774	5106264	5106969	5116879	5116924
401	"ENSMUSG00000058318"	"Phf21a"	chr2	+	92351608	92351631	92351700	92351864	92349387	92349448	92356863	92357019
402	"ENSMUSG00000062209"	"Erbb4"	chr1	-	68290242	68290317	68290438	68290483	68259180	68259313	68298286	68298441
403	"ENSMUSG00000064302"	"Clasp1"	chr1	+	118512174	118512222	118512704	118512728	118510205	118510376	118521826	118521934
404	"ENSMUSG00000064302"	"Clasp1"	chr1	+	118531977	118532085	118536134	118536197	118525296	118525455	118539265	118539369
405	"ENSMUSG00000028608"	"Czib"	chr4	+	107891464	107891521	107891954	107892036	107890118	107890202	107892221	107892253
406	"ENSMUSG00000041670"	"Rims1"	chr1	-	22593032	22593044	22594092	22594104	22538285	22538623	22596370	22596584
407	"ENSMUSG00000026240"	"Cops7b"	chr1	+	86592290	86592366	86596750	86596839	86589163	86589341	86599002	86599205
408	"ENSMUSG00000062991"	"Nrg1"	chr8	-	31831204	31831228	31833152	31833230	31826252	31826355	31837669	31837728
409	"ENSMUSG00000062991"	"Nrg1"	chr8	-	31837669	31837728	31838260	31838328	31826252	31826355	31849309	31849439
410	"ENSMUSG00000100277"	"1810053B23Rik"	chr16	-	93346859	93347099	93347139	93347188	93344874	93345047	93358994	93359058
411	"ENSMUSG00000032604"	"Qars"	chr9	+	108511138	108511210	108511330	108511416	108510287	108510348	108511531	108511618
412	"ENSMUSG00000032604"	"Qars"	chr9	+	108511330	108511416	108511531	108511618	108511138	108511210	108512482	108512582
413	"ENSMUSG00000021432"	"Slc35b3"	chr13	-	38944499	38944654	38954108	38954230	38943058	38943166	38955820	38955936
414	"ENSMUSG00000041975"	"Mettl8"	chr2	-	70971118	70971203	70972207	70972333	70967049	70967156	70973252	70973392
415	"ENSMUSG00000041975"	"Mettl8"	chr2	-	71018219	71018374	71051671	71051733	70993483	70993575	71055370	71055583
416	"ENSMUSG00000010554"	"Mettl16"	chr11	+	74800325	74800455	74802892	74803012	74795981	74796124	74803830	74803900
417	"ENSMUSG00000028273"	"Pdlim5"	chr3	-	142281851	142281983	142282968	142283112	142277816	142278001	142303942	142303979
418	"ENSMUSG00000028273"	"Pdlim5"	chr3	-	142309527	142309544	142312122	142312214	142306283	142306298	142314405	142314448
419	"ENSMUSG00000025964"	"Adam23"	chr1	+	63581136	63581227	63585364	63585455	63572886	63572998	63592607	63596276
420	"ENSMUSG00000066803"	"Vmn1r84"	chr7	-	12367306	12367512	12368003	12368114	12366544	12366625	12369202	12369273
421	"ENSMUSG00000020366"	"Mapk9"	chr11	+	49873835	49873907	49874263	49874335	49872733	49872899	49878230	49878413
422	"ENSMUSG00000057378"	"Ryr3"	chr2	-	112672234	112672331	112673165	112673265	112670586	112670693	112675268	112675381
423	"ENSMUSG00000030116"	"Mfap5"	chr6	+	122521892	122521928	122524486	122524510	122520895	122520928	122525950	122526038
424	"ENSMUSG00000041644"	"Slc5a12"	chr2	+	110637097	110637184	110637960	110638059	110632713	110632781	110640734	110640901
425	"ENSMUSG00000000037"	"Scml2"	chrX	+	161223156	161223240	161224460	161224544	161221665	161221749	161225876	161225960
426	"ENSMUSG00000027506"	"Tpd52"	chr3	-	8936438	8936480	8943550	8943577	8934991	8935040	8944610	8944712
427	"ENSMUSG00000026975"	"Dph7"	chr2	+	24963455	24963543	24965559	24965654	24963022	24963156	24966501	24966674
428	"ENSMUSG00000000197"	"Nalcn"	chr14	-	123571939	123572094	123590802	123590927	123515630	123515773	123592681	123592810
429	"ENSMUSG00000000197"	"Nalcn"	chr14	-	123571974	123572094	123590802	123590927	123515630	123515773	123592681	123592810
430	"ENSMUSG00000074895"	"Eif4e1b"	chr13	+	54784190	54784301	54784353	54784562	54784002	54784101	54784808	54784904
431	"ENSMUSG00000024985"	"Tcf7l2"	chr19	+	55926681	55926756	55927729	55927754	55925976	55926049	55931433	55933229
432	"ENSMUSG00000090655"	"Vmn2r120"	chr17	-	57521924	57522048	57522350	57522578	57506452	57509684	57524974	57525349
433	"ENSMUSG00000090655"	"Vmn2r120"	chr17	-	57525667	57525979	57536077	57536165	57524470	57525277	57545190	57545505
434	"ENSMUSG00000090655"	"Vmn2r120"	chr17	-	57536077	57536165	57536644	57536718	57525667	57525979	57545190	57545505
435	"ENSMUSG00000030849"	"Fgfr2"	chr7	-	130198418	130198563	130199757	130199905	130196171	130196374	130200982	130201173
436	"ENSMUSG00000027273"	"Snap25"	chr2	+	136769742	136769860	136770056	136770174	136763572	136763621	136773894	136774020
437	"ENSMUSG00000014353"	"Tmem87b"	chr2	+	128839147	128839219	128840731	128840803	128837301	128837395	128841234	128841343
438	"ENSMUSG00000022442"	"Ttll1"	chr15	-	83505482	83505643	83505684	83505732	83505249	83505366	83506279	83506327
439	"ENSMUSG00000040594"	"Ranbp17"	chr11	-	33337854	33337914	33404037	33404199	33329470	33329544	33441802	33441938
440	"ENSMUSG00000033249"	"Hsf4"	chr8	+	105272459	105272584	105272809	105272933	105272105	105272208	105274645	105274751
441	"ENSMUSG00000022106"	"Rcbtb2"	chr14	+	73158387	73158445	73160501	73160644	73154830	73154894	73161939	73162095
442	"ENSMUSG00000091620"	"Vmn2r23"	chr6	+	123705763	123705869	123712365	123712541	123704349	123704647	123712679	123713477
443	"ENSMUSG00000029162"	"Khk"	chr5	+	30926687	30926822	30927021	30927156	30924738	30924855	30928442	30928515
444	"ENSMUSG00000032966"	"Fkbp1a"	chr2	+	151544012	151544140	151545424	151545515	151542817	151542865	151557385	151557498
445	"ENSMUSG00000028859"	"Csf3r"	chr4	+	126027188	126027316	126027316	126027400	126026080	126026179	126029762	126030062
446	"ENSMUSG00000024830"	"Rps6kb2"	chr19	-	4159226	4159327	4159402	4159460	4159002	4159093	4161067	4161215
