ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
3109	"ENSMUSG00000046764"	"A530053G22Rik"	chr6	-	60402037	60402177	60401615	60401686	60403547	60403671
3110	"ENSMUSG00000094200"	"Olfr237"	chr6	+	43148118	43148223	43146566	43146778	43153266	43157169
3111	"ENSMUSG00000033981"	"Gria2"	chr3	-	80690403	80690518	80689102	80689351	80691319	80691434
3112	"ENSMUSG00000033981"	"Gria2"	chr3	-	80691319	80691434	80690403	80690518	80692284	80692532
3113	"ENSMUSG00000033981"	"Gria2"	chr3	-	80691702	80691743	80691319	80691434	80692284	80692532
3114	"ENSMUSG00000057715"	"A830018L16Rik"	chr1	+	11511917	11512065	11414104	11414637	11518577	11518709
3115	"ENSMUSG00000057715"	"A830018L16Rik"	chr1	+	11933543	11933591	11829814	11829891	11950962	11951056
3116	"ENSMUSG00000094192"	"Olfr452"	chr6	+	42789093	42789167	42785092	42786229	42790017	42791619
3117	"ENSMUSG00000036667"	"Tcaf1"	chr6	-	42709528	42709637	42685238	42686958	42709958	42710071
3118	"ENSMUSG00000029859"	"Epha1"	chr6	-	42361285	42361492	42361004	42361154	42361593	42361655
3119	"ENSMUSG00000029860"	"Zyx"	chr6	+	42350945	42351148	42350032	42350476	42351474	42351969
3120	"ENSMUSG00000029860"	"Zyx"	chr6	+	42351269	42351362	42350945	42351148	42351474	42351607
3121	"ENSMUSG00000029862"	"Clcn1"	chr6	+	42293443	42293522	42292940	42293018	42294074	42294156
3122	"ENSMUSG00000029862"	"Clcn1"	chr6	+	42293443	42293522	42292940	42293018	42294077	42294156
3123	"ENSMUSG00000029862"	"Clcn1"	chr6	+	42293443	42293522	42292940	42293018	42298798	42298924
3124	"ENSMUSG00000029862"	"Clcn1"	chr6	+	42294074	42294156	42292940	42293018	42298798	42298924
3125	"ENSMUSG00000029862"	"Clcn1"	chr6	+	42294074	42294156	42293443	42293522	42298798	42298924
3126	"ENSMUSG00000029862"	"Clcn1"	chr6	+	42294077	42294156	42292940	42293018	42298798	42298924
3127	"ENSMUSG00000029862"	"Clcn1"	chr6	+	42294077	42294156	42293443	42293522	42298798	42298924
3128	"ENSMUSG00000029862"	"Clcn1"	chr6	+	42298798	42298924	42294074	42294156	42299237	42299322
3129	"ENSMUSG00000029862"	"Clcn1"	chr6	+	42300227	42300377	42299904	42299989	42305245	42305315
3130	"ENSMUSG00000029862"	"Clcn1"	chr6	+	42312014	42312133	42311211	42311250	42313053	42313064
3131	"ENSMUSG00000029862"	"Clcn1"	chr6	+	42313053	42313158	42311211	42311250	42313237	42313324
3132	"ENSMUSG00000029866"	"Kel"	chr6	-	41687521	41687617	41686329	41686608	41687944	41688114
3133	"ENSMUSG00000042268"	"Slc26a9"	chr1	+	131753119	131753230	131752843	131752983	131753826	131753987
3134	"ENSMUSG00000033276"	"Stk36"	chr1	+	74605388	74605519	74603396	74603474	74609011	74609261
3135	"ENSMUSG00000067081"	"Asb18"	chr1	-	89968212	89968720	89954388	89954502	89992957	89993225
3136	"ENSMUSG00000067081"	"Asb18"	chr1	-	89990592	89990593	89968212	89968275	89993182	89993225
3137	"ENSMUSG00000067081"	"Asb18"	chr1	-	89996211	89996334	89992957	89993225	90014372	90014577
3138	"ENSMUSG00000028463"	"Car9"	chr4	+	43509117	43509210	43508892	43509035	43510196	43510259
3139	"ENSMUSG00000028463"	"Car9"	chr4	+	43511826	43511984	43510196	43510263	43512141	43512277
3140	"ENSMUSG00000027695"	"Pld1"	chr3	+	28078203	28078417	28076390	28076591	28085785	28085914
3141	"ENSMUSG00000027695"	"Pld1"	chr3	+	28079188	28079302	28078203	28078417	28085785	28085914
3142	"ENSMUSG00000027695"	"Pld1"	chr3	+	28123688	28123757	28120693	28120828	28124572	28124726
3143	"ENSMUSG00000099526"	"Gm29313"	chrY	+	76925378	76925562	76924463	76924649	76926088	76926578
3144	"ENSMUSG00000090206"	"Tepp"	chr8	+	95312954	95313179	95311514	95311690	95319675	95319737
3145	"ENSMUSG00000090206"	"Tepp"	chr8	+	95320905	95320938	95320649	95320714	95325486	95325604
3146	"ENSMUSG00000030607"	"Acan"	chr7	+	79108114	79108228	79099750	79101234	79111293	79111452
3147	"ENSMUSG00000024781"	"Lipa"	chr19	-	34508988	34509098	34507008	34507145	34510822	34511021
3148	"ENSMUSG00000033423"	"Eri3"	chr4	+	117587784	117587980	117582599	117582716	117589097	117589157
3149	"ENSMUSG00000107068"	"Gm42742"	chr7	-	127016442	127016927	127016233	127016282	127021004	127021039
3150	"ENSMUSG00000029883"	"1700074P13Rik"	chr6	-	40939182	40939250	40929440	40929566	40940352	40940557
3151	"ENSMUSG00000029915"	"Clec5a"	chr6	-	40584355	40584430	40582234	40582294	40585149	40585248
3152	"ENSMUSG00000101423"	"Gm28298"	chrY	-	31778134	31778319	31777537	31777606	31779047	31779229
3153	"ENSMUSG00000021245"	"Mlh3"	chr12	-	85245762	85245922	85240959	85240983	85247611	85247723
3154	"ENSMUSG00000021245"	"Mlh3"	chr12	-	85262766	85262862	85261660	85261752	85266151	85269474
3155	"ENSMUSG00000038538"	"Ubn2"	chr6	+	38489253	38489304	38487107	38487150	38490383	38491931
3156	"ENSMUSG00000029833"	"Trim24"	chr6	+	37908216	37908364	37903532	37903651	37915164	37915297
3157	"ENSMUSG00000029833"	"Trim24"	chr6	+	37943412	37943530	37931353	37931500	37945520	37945687
3158	"ENSMUSG00000058486"	"Wdr91"	chr6	-	34886065	34886178	34884183	34884381	34886807	34886916
3159	"ENSMUSG00000058486"	"Wdr91"	chr6	-	34909676	34909827	34909360	34909540	34910509	34910563
3160	"ENSMUSG00000058486"	"Wdr91"	chr6	-	34909676	34909827	34909360	34909540	34910696	34910836
3161	"ENSMUSG00000058486"	"Wdr91"	chr6	-	34909713	34909827	34909460	34909540	34910696	34910842
3162	"ENSMUSG00000057137"	"Tmem140"	chr6	+	34868514	34868822	34863261	34863340	34872527	34872613
3163	"ENSMUSG00000084965"	"Gm13857"	chr6	-	34441934	34442178	34419395	34421137	34443007	34443255
3164	"ENSMUSG00000036513"	"Commd2"	chr3	-	57650690	57650773	57650041	57650215	57651421	57651499
3165	"ENSMUSG00000024222"	"Fkbp5"	chr17	-	28412033	28412124	28410509	28410593	28415868	28416025
3166	"ENSMUSG00000024222"	"Fkbp5"	chr17	-	28507235	28507469	28495037	28495106	28517394	28517524
3167	"ENSMUSG00000052142"	"Rasal3"	chr17	-	32402435	32402507	32399289	32399429	32403055	32403399
3168	"ENSMUSG00000071553"	"Cpa2"	chr6	+	30543785	30543900	30541669	30541729	30544134	30544216
3169	"ENSMUSG00000029782"	"Tmem209"	chr6	-	30482595	30482985	30479052	30481137	30487374	30487448
3170	"ENSMUSG00000029782"	"Tmem209"	chr6	-	30482856	30482985	30481021	30481137	30487374	30487448
3171	"ENSMUSG00000029782"	"Tmem209"	chr6	-	30492596	30492722	30491086	30491184	30494737	30494834
3172	"ENSMUSG00000029782"	"Tmem209"	chr6	-	30506785	30506917	30505732	30505974	30508453	30508512
3173	"ENSMUSG00000029782"	"Tmem209"	chr6	-	30508665	30508802	30506785	30508512	30509684	30509715
3174	"ENSMUSG00000029782"	"Tmem209"	chr6	-	30508665	30508842	30508453	30508512	30509684	30509718
3175	"ENSMUSG00000029782"	"Tmem209"	chr6	-	30508790	30508802	30508453	30508512	30509684	30509704
3176	"ENSMUSG00000003299"	"Mrpl4"	chr9	+	21005862	21005886	21003253	21003404	21006133	21006185
3177	"ENSMUSG00000056698"	"Elmod3"	chr6	-	72596435	72596466	72594739	72595020	72598321	72598342
3178	"ENSMUSG00000056698"	"Elmod3"	chr6	-	72597623	72597645	72596435	72596466	72598321	72598361
3179	"ENSMUSG00000025154"	"Arhgap19"	chr19	-	41773049	41773128	41766587	41770196	41774065	41774176
3180	"ENSMUSG00000027357"	"Crls1"	chr2	+	132854892	132855022	132849865	132850003	132861208	132861294
3181	"ENSMUSG00000027357"	"Crls1"	chr2	+	132861208	132861294	132849865	132850003	132862334	132862403
3182	"ENSMUSG00000059022"	"Kcp"	chr6	-	29484810	29484922	29484614	29484716	29485002	29485175
3183	"ENSMUSG00000059022"	"Kcp"	chr6	-	29498786	29498880	29498428	29498514	29498956	29499036
3184	"ENSMUSG00000040987"	"Mill2"	chr7	+	18841469	18841514	18839965	18840091	18855939	18856203
3185	"ENSMUSG00000040987"	"Mill2"	chr7	+	18846061	18846130	18841469	18841514	18855939	18856197
3186	"ENSMUSG00000040987"	"Mill2"	chr7	+	18847239	18847437	18841469	18841514	18855939	18856203
3187	"ENSMUSG00000024410"	"Rmc1"	chr18	+	12169232	12169309	12168716	12168902	12171548	12171633
3188	"ENSMUSG00000039742"	"Fam71f1"	chr6	+	29320627	29320812	29319139	29319447	29323711	29323964
3189	"ENSMUSG00000039742"	"Fam71f1"	chr6	+	29320632	29320812	29319156	29319447	29323711	29323964
3190	"ENSMUSG00000079652"	"Fam71f2"	chr6	+	29283157	29283339	29281140	29281417	29285878	29286128
3191	"ENSMUSG00000026568"	"Mpc2"	chr1	+	165479466	165479578	165478141	165478305	165480902	165481119
3192	"ENSMUSG00000017943"	"Gdap1l1"	chr2	+	163447498	163447672	163446024	163446226	163450565	163450663
3193	"ENSMUSG00000029706"	"Pax4"	chr6	-	28445112	28445238	28444803	28444886	28445784	28445860
3194	"ENSMUSG00000020175"	"Rab36"	chr10	+	75046031	75046133	75044470	75044536	75048448	75048513
3195	"ENSMUSG00000008450"	"Nutf2"	chr8	+	105866397	105866673	105860644	105860705	105875533	105875569
3196	"ENSMUSG00000008450"	"Nutf2"	chr8	+	105870250	105870432	105860644	105860705	105875533	105875658
3197	"ENSMUSG00000008450"	"Nutf2"	chr8	+	105874547	105874736	105860664	105860705	105875533	105875658
3198	"ENSMUSG00000026843"	"Fubp3"	chr2	+	31612102	31612235	31611578	31611739	31612484	31612558
3199	"ENSMUSG00000026843"	"Fubp3"	chr2	+	31612836	31612908	31612484	31612558	31613030	31613107
3200	"ENSMUSG00000026843"	"Fubp3"	chr2	+	31614710	31614782	31613030	31613107	31615497	31615625
3201	"ENSMUSG00000029695"	"Aass"	chr6	-	23096825	23096893	23094189	23094311	23097142	23097202
3202	"ENSMUSG00000029695"	"Aass"	chr6	-	23122512	23122737	23120876	23121053	23132880	23132986
3203	"ENSMUSG00000035295"	"Wdr38"	chr2	+	38999282	38999403	38998318	38998476	38999972	39000089
3204	"ENSMUSG00000079557"	"Marchf2"	chr17	-	33692018	33692153	33685711	33688242	33696036	33696246
3205	"ENSMUSG00000079557"	"Marchf2"	chr17	-	33715942	33716062	33709744	33709972	33718545	33718591
3206	"ENSMUSG00000053768"	"Chchd3"	chr6	-	32794214	32794308	32792653	32792926	32803889	32803992
3207	"ENSMUSG00000053768"	"Chchd3"	chr6	-	32801177	32801284	32792641	32792926	32803889	32804025
3208	"ENSMUSG00000053768"	"Chchd3"	chr6	-	32801996	32802066	32792642	32792926	32803889	32804025
3209	"ENSMUSG00000053768"	"Chchd3"	chr6	-	32893391	32893406	32892291	32892375	32968200	32968318
3210	"ENSMUSG00000041301"	"Cftr"	chr6	+	18220620	18220710	18214099	18214315	18221469	18221633
3211	"ENSMUSG00000041301"	"Cftr"	chr6	+	18255933	18256041	18255379	18255474	18258230	18258317
3212	"ENSMUSG00000041301"	"Cftr"	chr6	+	18255952	18256041	18255223	18255474	18258230	18258317
3213	"ENSMUSG00000064036"	"Mro"	chr18	+	73863168	73863274	73859384	73859456	73863919	73864062
3214	"ENSMUSG00000029553"	"Tfec"	chr6	-	16840468	16840544	16835201	16835349	16844194	16844251
3215	"ENSMUSG00000028459"	"Cd72"	chr4	-	43453082	43453172	43452306	43452639	43453640	43453712
3216	"ENSMUSG00000028459"	"Cd72"	chr4	-	43453082	43453172	43452306	43452639	43454241	43454349
3217	"ENSMUSG00000028459"	"Cd72"	chr4	-	43453082	43453211	43452320	43452639	43454241	43454323
3218	"ENSMUSG00000028459"	"Cd72"	chr4	-	43453640	43453712	43452600	43452639	43454241	43454349
3219	"ENSMUSG00000028459"	"Cd72"	chr4	-	43453640	43453712	43453082	43453172	43454241	43454349
3220	"ENSMUSG00000002524"	"Puf60"	chr15	-	76074606	76074657	76072406	76072568	76075541	76075631
3221	"ENSMUSG00000002524"	"Puf60"	chr15	-	76079369	76079489	76077600	76077702	76080849	76080904
3222	"ENSMUSG00000029563"	"Foxp2"	chr6	+	14988322	14988464	14901348	14901761	15084481	15084575
3223	"ENSMUSG00000029563"	"Foxp2"	chr6	+	15324612	15324687	15286680	15286770	15376688	15376826
3224	"ENSMUSG00000029563"	"Foxp2"	chr6	+	15377680	15377730	15376688	15376826	15377869	15378088
3225	"ENSMUSG00000029563"	"Foxp2"	chr6	+	15377680	15377730	15376688	15376826	15377887	15378088
3226	"ENSMUSG00000029563"	"Foxp2"	chr6	+	15409740	15409942	15405558	15405642	15411025	15411102
3227	"ENSMUSG00000028114"	"Mettl14"	chr3	-	123373969	123374062	123372556	123372673	123374744	123374886
3228	"ENSMUSG00000063511"	"Snrnp70"	chr7	-	45381824	45383184	45380716	45380818	45383803	45383885
3229	"ENSMUSG00000063511"	"Snrnp70"	chr7	-	45383124	45383184	45380716	45380818	45383803	45383885
3230	"ENSMUSG00000063511"	"Snrnp70"	chr7	-	45395092	45395172	45394658	45394815	45395508	45395709
3231	"ENSMUSG00000021557"	"Agtpbp1"	chr13	-	59460468	59460629	59445741	59450314	59461996	59462173
3232	"ENSMUSG00000021557"	"Agtpbp1"	chr13	-	59482516	59482604	59476993	59477138	59495332	59495481
3233	"ENSMUSG00000021557"	"Agtpbp1"	chr13	-	59517652	59517690	59514086	59514295	59525145	59525239
3234	"ENSMUSG00000021557"	"Agtpbp1"	chr13	-	59528386	59528518	59525145	59525239	59531056	59531203
3235	"ENSMUSG00000021557"	"Agtpbp1"	chr13	-	59531056	59531203	59528386	59528518	59532012	59532076
3236	"ENSMUSG00000021557"	"Agtpbp1"	chr13	-	59533944	59534094	59533171	59533239	59536248	59536373
3237	"ENSMUSG00000021557"	"Agtpbp1"	chr13	-	59536248	59536373	59533171	59533239	59544386	59544439
3238	"ENSMUSG00000021557"	"Agtpbp1"	chr13	-	59555679	59555810	59544386	59544451	59557222	59557347
3239	"ENSMUSG00000062995"	"Ica1"	chr6	-	8653496	8653535	8643972	8644242	8653629	8653692
3240	"ENSMUSG00000062995"	"Ica1"	chr6	-	8659825	8659988	8659001	8659097	8670693	8670792
3241	"ENSMUSG00000062995"	"Ica1"	chr6	-	8667196	8667363	8659000	8659097	8670693	8670792
3242	"ENSMUSG00000062995"	"Ica1"	chr6	-	8775783	8775930	8758365	8758458	8778071	8778154
3243	"ENSMUSG00000062995"	"Ica1"	chr6	-	8775783	8775930	8758365	8758458	8778372	8778439
3244	"ENSMUSG00000062995"	"Ica1"	chr6	-	8777046	8777224	8758365	8758458	8778071	8778123
3245	"ENSMUSG00000029638"	"Glcci1"	chr6	+	8580100	8580206	8579704	8579739	8582579	8582790
3246	"ENSMUSG00000020910"	"Adprm"	chr11	-	67042918	67043036	67041695	67042107	67052534	67052585
3247	"ENSMUSG00000020910"	"Adprm"	chr11	-	67051680	67051778	67041392	67042107	67052534	67052570
3248	"ENSMUSG00000020910"	"Adprm"	chr11	-	67051680	67051914	67041881	67042107	67052534	67052589
3249	"ENSMUSG00000040413"	"Timd2"	chr11	-	46698542	46698608	46689480	46689538	46706934	46707061
3250	"ENSMUSG00000085601"	"Gm4969"	chr7	-	19106933	19107045	19105720	19105846	19111681	19111772
3251	"ENSMUSG00000029836"	"Cbx3"	chr6	+	51478437	51478600	51475230	51475373	51481723	51481818
3252	"ENSMUSG00000032086"	"Bace1"	chr9	+	45858399	45858501	45857113	45857248	45858909	45859059
3253	"ENSMUSG00000085271"	"E130006D01Rik"	chr5	-	111739126	111739213	111734302	111734629	111739835	111739909
3254	"ENSMUSG00000031934"	"Panx1"	chr9	-	15010035	15010256	15007360	15008019	15021381	15021521
3255	"ENSMUSG00000030730"	"Atp2a1"	chr7	-	126446544	126446586	126445857	126446126	126446870	126446988
3256	"ENSMUSG00000053436"	"Mapk14"	chr17	+	28692755	28692800	28691341	28691855	28713773	28713903
3257	"ENSMUSG00000053436"	"Mapk14"	chr17	+	28741787	28741866	28737010	28737090	28744982	28745061
3258	"ENSMUSG00000004631"	"Sgce"	chr6	-	4677162	4677197	4674353	4674632	4678066	4678110
3259	"ENSMUSG00000004631"	"Sgce"	chr6	-	4677162	4677233	4674417	4674632	4678066	4678110
3260	"ENSMUSG00000004631"	"Sgce"	chr6	-	4690468	4690495	4688611	4689767	4691428	4691640
3261	"ENSMUSG00000004631"	"Sgce"	chr6	-	4707073	4707272	4694021	4694184	4711307	4711380
3262	"ENSMUSG00000004631"	"Sgce"	chr6	-	4719373	4719496	4717920	4718078	4746979	4747070
3263	"ENSMUSG00000004631"	"Sgce"	chr6	-	4730005	4730113	4719373	4719496	4746979	4747157
3264	"ENSMUSG00000004631"	"Sgce"	chr6	-	4737297	4737392	4719373	4719496	4746979	4747063
3265	"ENSMUSG00000041552"	"Ptchd1"	chrX	-	155586370	155587031	155573454	155575195	155622959	155623325
3266	"ENSMUSG00000041552"	"Ptchd1"	chrX	-	155622319	155622484	155586807	155587031	155622959	155623179
3267	"ENSMUSG00000011118"	"Panx3"	chr9	-	37667359	37667500	37666608	37666751	37668874	37669173
3268	"ENSMUSG00000004032"	"Gstm5"	chr3	+	107896297	107896373	107895820	107895998	107896625	107896690
3269	"ENSMUSG00000004032"	"Gstm5"	chr3	+	107896297	107896536	107895845	107895998	107896625	107896690
3270	"ENSMUSG00000036502"	"Tmem255a"	chrX	-	38225053	38225125	38224580	38224669	38233102	38233192
3271	"ENSMUSG00000036502"	"Tmem255a"	chrX	-	38226887	38226956	38225053	38225125	38233102	38233192
3272	"ENSMUSG00000040554"	"Aipl1"	chr11	-	72031127	72031205	72030425	72030602	72031416	72031605
3273	"ENSMUSG00000016128"	"Stard13"	chr5	-	151073300	151073364	151062295	151063656	151092746	151092828
3274	"ENSMUSG00000106738"	"Gm5"	chr5	-	150501679	150501716	150499746	150499850	150501854	150502133
3275	"ENSMUSG00000001225"	"Slc26a3"	chr12	+	31466396	31466630	31465758	31465854	31468520	31468575
3276	"ENSMUSG00000057842"	"Zfp595"	chr13	-	67314645	67314909	67313719	67313898	67316297	67317977
3277	"ENSMUSG00000108929"	"Cc2d2b"	chr19	+	40777286	40777403	40774369	40774510	40778045	40778148
3278	"ENSMUSG00000108929"	"Cc2d2b"	chr19	+	40792783	40792876	40791185	40791389	40794554	40794646
3279	"ENSMUSG00000108929"	"Cc2d2b"	chr19	+	40798175	40798304	40795646	40795817	40802353	40802450
3280	"ENSMUSG00000108929"	"Cc2d2b"	chr19	+	40806815	40806914	40802353	40802450	40808929	40809112
3281	"ENSMUSG00000069793"	"Slfn9"	chr11	-	82990941	82991057	82987238	82988308	82991587	82991829
3282	"ENSMUSG00000107271"	"BC028471"	chr5	+	149374283	149374373	149369045	149369278	149375937	149376068
3283	"ENSMUSG00000107271"	"BC028471"	chr5	+	149392631	149392727	149392107	149392202	149393508	149393596
3284	"ENSMUSG00000052221"	"Ppp1r36"	chr12	+	76426748	76426835	76418927	76418992	76427884	76427982
3285	"ENSMUSG00000027620"	"Rbm39"	chr2	-	156152462	156152513	156150734	156150816	156154238	156154271
3286	"ENSMUSG00000027620"	"Rbm39"	chr2	-	156161567	156161633	156159036	156159241	156161827	156161965
3287	"ENSMUSG00000027620"	"Rbm39"	chr2	-	156167684	156167750	156167537	156167591	156172827	156173022
3288	"ENSMUSG00000027620"	"Rbm39"	chr2	-	156167928	156168167	156167684	156167750	156172827	156172961
3289	"ENSMUSG00000027620"	"Rbm39"	chr2	-	156174096	156174168	156172827	156173022	156176402	156176457
3290	"ENSMUSG00000027620"	"Rbm39"	chr2	-	156174096	156174168	156172827	156173022	156177335	156177385
3291	"ENSMUSG00000027620"	"Rbm39"	chr2	-	156176402	156176457	156172832	156173022	156177335	156177385
3292	"ENSMUSG00000027620"	"Rbm39"	chr2	-	156176402	156176457	156174096	156174168	156177335	156177385
3293	"ENSMUSG00000027620"	"Rbm39"	chr2	-	156177632	156177906	156177360	156177385	156178879	156178952
3294	"ENSMUSG00000027620"	"Rbm39"	chr2	-	156177751	156177906	156177335	156177385	156179176	156179240
3295	"ENSMUSG00000027620"	"Rbm39"	chr2	-	156178879	156178952	156177160	156177385	156179176	156179240
3296	"ENSMUSG00000027620"	"Rbm39"	chr2	-	156178879	156178952	156177632	156177906	156179176	156179240
3297	"ENSMUSG00000041313"	"Slc7a1"	chr5	-	148352065	148352449	148348152	148348311	148365161	148365251
3298	"ENSMUSG00000038848"	"Ythdf1"	chr2	-	180919905	180919986	180919134	180919214	180920311	180920336
3299	"ENSMUSG00000029651"	"Mtus2"	chr5	+	148277599	148277666	148265216	148265463	148288873	148289088
3300	"ENSMUSG00000029651"	"Mtus2"	chr5	+	148298251	148298325	148295482	148295588	148303482	148303602
3301	"ENSMUSG00000029651"	"Mtus2"	chr5	+	148301397	148301496	148298251	148298325	148303482	148303602
3302	"ENSMUSG00000117497"	"1700116H05Rik"	chr17	-	88300547	88300667	88294504	88296278	88305193	88305340
3303	"ENSMUSG00000027857"	"Tshb"	chr3	-	102782061	102782102	102778149	102778312	102782449	102782496
3304	"ENSMUSG00000027857"	"Tshb"	chr3	-	102782061	102782102	102778149	102778312	102782647	102782674
3305	"ENSMUSG00000027857"	"Tshb"	chr3	-	102782449	102782496	102778149	102778312	102782647	102782674
3306	"ENSMUSG00000027857"	"Tshb"	chr3	-	102782449	102782496	102782061	102782102	102782647	102782674
3307	"ENSMUSG00000004462"	"Tbccd1"	chr16	-	22814807	22814884	22813598	22813956	22818380	22818525
3308	"ENSMUSG00000004462"	"Tbccd1"	chr16	-	22823366	22823447	22822702	22822889	22825765	22826132
3309	"ENSMUSG00000107948"	"AA545190"	chr6	-	10977859	10977906	10973496	10973633	10979458	10979638
3310	"ENSMUSG00000029634"	"Rnf6"	chr5	-	146219264	146219342	146217900	146218096	146220401	146220484
3311	"ENSMUSG00000093701"	"Gm21970"	chr16	+	91407617	91407741	91393756	91393913	91411882	91412040
3312	"ENSMUSG00000021639"	"Gtf2h2"	chr13	-	100461847	100461962	100460217	100460420	100468914	100469026
3313	"ENSMUSG00000021639"	"Gtf2h2"	chr13	-	100481003	100481091	100480539	100480647	100481211	100481302
3314	"ENSMUSG00000021639"	"Gtf2h2"	chr13	-	100482937	100483043	100481211	100481302	100486070	100486125
3315	"ENSMUSG00000038690"	"Atp5j2"	chr5	-	145188192	145188258	145187125	145187233	145191502	145191592
3316	"ENSMUSG00000038690"	"Atp5j2"	chr5	-	145188192	145188322	145187125	145187233	145191502	145191511
3317	"ENSMUSG00000020131"	"Pcsk4"	chr10	-	80325582	80325671	80325232	80325405	80325772	80325849
3318	"ENSMUSG00000038780"	"Smurf1"	chr5	-	144893160	144893307	144891314	144891513	144894473	144894558
3319	"ENSMUSG00000038780"	"Smurf1"	chr5	-	144894079	144894157	144893160	144893307	144894473	144894558
3320	"ENSMUSG00000066621"	"Tecpr1"	chr5	-	144207706	144207803	144207482	144207549	144208594	144208639
3321	"ENSMUSG00000032560"	"Dnajc13"	chr9	-	104153267	104153376	104152095	104152423	104156813	104156913
3322	"ENSMUSG00000032560"	"Dnajc13"	chr9	-	104196022	104196107	104192613	104192768	104197158	104197361
3323	"ENSMUSG00000032560"	"Dnajc13"	chr9	-	104196201	104196330	104196022	104196107	104197158	104197361
3324	"ENSMUSG00000032560"	"Dnajc13"	chr9	-	104209868	104209883	104209304	104209387	104212760	104212904
3325	"ENSMUSG00000075569"	"Rsph10b"	chr5	+	143982558	143982561	143979857	143979948	143983903	143984102
3326	"ENSMUSG00000026034"	"Clk1"	chr1	-	58417012	58417179	58414589	58414684	58417266	58417383
3327	"ENSMUSG00000026034"	"Clk1"	chr1	-	58420120	58420211	58419666	58419733	58421082	58421308
3328	"ENSMUSG00000001847"	"Rac1"	chr5	-	143509596	143509653	143508095	143508158	143514668	143514786
3329	"ENSMUSG00000047284"	"Neurl4"	chr11	+	69903653	69903719	69903007	69903452	69903864	69904163
3330	"ENSMUSG00000047284"	"Neurl4"	chr11	+	69903676	69903719	69903007	69903452	69903864	69903914
3331	"ENSMUSG00000047284"	"Neurl4"	chr11	+	69912514	69912553	69911928	69912094	69913126	69913152
3332	"ENSMUSG00000089889"	"0610040B10Rik"	chr5	+	143330703	143330885	143329326	143329353	143332310	143332701
3333	"ENSMUSG00000029580"	"Actb"	chr5	-	142905087	142905150	142904394	142904782	142905236	142905476
3334	"ENSMUSG00000029580"	"Actb"	chr5	-	142905236	142905476	142904343	142904782	142905563	142905692
3335	"ENSMUSG00000063801"	"Ap3s2"	chr7	-	79917230	79917322	79916015	79916107	79920508	79920596
3336	"ENSMUSG00000064030"	"Pym1"	chr10	+	128750282	128750337	128748527	128748566	128765146	128765240
3337	"ENSMUSG00000024826"	"Dpf2"	chr19	-	5903730	5903772	5902630	5902768	5904239	5904318
3338	"ENSMUSG00000101879"	"Gm28820"	chrY	-	37548342	37548526	37547327	37547816	37549255	37549441
3339	"ENSMUSG00000000148"	"Brat1"	chr5	+	140714292	140714384	140713052	140713172	140714566	140714685
3340	"ENSMUSG00000002020"	"Ltbp2"	chr12	-	84792956	84793082	84791821	84791944	84793618	84793744
3341	"ENSMUSG00000002020"	"Ltbp2"	chr12	-	84803786	84803915	84799371	84799491	84804356	84804485
3342	"ENSMUSG00000054580"	"Pla2r1"	chr2	-	60455085	60455231	60452401	60452486	60458249	60458452
3343	"ENSMUSG00000032440"	"Tgfbr2"	chr9	-	116158270	116158345	116131544	116131713	116174943	116175265
3344	"ENSMUSG00000029554"	"Mad1l1"	chr5	-	140105514	140105605	140088629	140088837	140117236	140117325
3345	"ENSMUSG00000006675"	"P4htm"	chr9	-	108582081	108582179	108581841	108582004	108582846	108582936
3346	"ENSMUSG00000018566"	"Slc2a4"	chr11	-	69946068	69946193	69945837	69945953	69946567	69946684
3347	"ENSMUSG00000018566"	"Slc2a4"	chr11	-	69946285	69946458	69945837	69946193	69946567	69946684
3348	"ENSMUSG00000025856"	"Pdgfa"	chr5	-	138978621	138978690	138976515	138977227	138979145	138979272
3349	"ENSMUSG00000025856"	"Pdgfa"	chr5	-	138994708	138994838	138993287	138993384	138995733	138996087
3350	"ENSMUSG00000036948"	"Map11"	chr5	-	138261552	138261716	138260834	138260989	138261801	138261884
3351	"ENSMUSG00000036948"	"Map11"	chr5	-	138262846	138262976	138262169	138262744	138263066	138263162
3352	"ENSMUSG00000100452"	"Gm29628"	chrY	+	64118732	64118916	64117817	64118003	64119442	64119931
3353	"ENSMUSG00000015942"	"Gtf2ird2"	chr5	+	134214950	134215020	134214640	134214669	134216135	134216612
3354	"ENSMUSG00000039218"	"Srrm2"	chr17	+	23806931	23807202	23803186	23803398	23808065	23808173
3355	"ENSMUSG00000039218"	"Srrm2"	chr17	+	23811816	23812077	23811671	23811731	23812427	23812600
3356	"ENSMUSG00000039218"	"Srrm2"	chr17	+	23821920	23822015	23821386	23821690	23822412	23822660
3357	"ENSMUSG00000029725"	"Ppp1r35"	chr5	+	137779625	137779762	137779301	137779545	137779853	137780110
3358	"ENSMUSG00000089984"	"Fbxo24"	chr5	-	137613672	137613843	137612502	137613119	137618383	137618515
3359	"ENSMUSG00000031778"	"Cx3cl1"	chr8	+	94776599	94776700	94772203	94772334	94778027	94778148
3360	"ENSMUSG00000031778"	"Cx3cl1"	chr8	+	94777307	94777393	94772224	94772334	94778027	94778148
3361	"ENSMUSG00000031778"	"Cx3cl1"	chr8	+	94778027	94778148	94772008	94772334	94779559	94779638
